"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
1991;"Terrestre";0,625;0,625;0,625;0,625;0,625;"ACCNIS"
2002;"Terrestre";0,75;1,07142857142857;1,42857142857143;1,78571428571429;2,10714285714286;"ACCNIS"
2003;"Terrestre";2,5;2,5;2,5;2,5;2,5;"ACCNIS"
2004;"Terrestre";1,25446428571429;1,29464285714286;1,33928571428571;1,38392857142857;1,42410714285714;"ACCNIS"
2005;"Terrestre";2;2;2;2;2;"ACCNIS"
2006;"Terrestre";0,733294930875576;0,904377880184332;1,27334465195246;1,65296052631579;1,85279605263158;"ACCNIS"
2007;"Terrestre";0,863169642857143;0,917410714285714;0,96875;1,10714285714286;1,39642857142857;"ACCNIS"
2008;"Terrestre";0,766964285714286;0,919642857142857;1,08928571428571;1,25892857142857;1,41160714285714;"ACCNIS"
2009;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"ACCNIS"
2010;"Terrestre";1,76470588235294;1,76470588235294;1,76470588235294;1,76470588235294;1,76470588235294;"ACCNIS"
2011;"Terrestre";1,59716599190283;1,76113360323887;1,94331983805668;2,12550607287449;2,28947368421053;"ACCNIS"
2012;"Terrestre";2,15222277722278;2,23651348651349;2,33016983016983;2,42382617382617;2,50811688311688;"ACCNIS"
2013;"Terrestre";1,5375;1,875;2,25;2,625;2,9625;"ACCNIS"
2014;"Terrestre";1,23142377756472;1,44175455417066;1,67545541706616;1,90915627996165;2,11948705656759;"ACCNIS"
2015;"Terrestre";2,5125;2,625;2,75;2,875;2,9875;"ACCNIS"
2016;"Terrestre";1,34831460674157;1,34831460674157;1,34831460674157;1,34831460674157;1,34831460674157;"ACCNIS"
2017;"Terrestre";2,15178571428571;2,23214285714286;2,32142857142857;2,41071428571429;2,49107142857143;"ACCNIS"
2018;"Terrestre";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"ACCNIS"
2019;"Terrestre";3;3;3;3;3;"ACCNIS"
2020;"Terrestre";2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;2,72727272727273;"ACCNIS"
1992;"Terrestre";0,859151785714286;0,877232142857143;0,897321428571429;0,917410714285714;0,935491071428571;"ACRARU"
1993;"Terrestre";0,948317307692308;1,04567307692308;1,15384615384615;1,43406593406593;1,68626373626374;"ACRARU"
1994;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
1995;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ACRARU"
1996;"Terrestre";0,859151785714286;0,877232142857143;0,897321428571429;0,917410714285714;0,935491071428571;"ACRARU"
1997;"Terrestre";0,94921875;1,0546875;1,171875;1,2890625;1,39453125;"ACRARU"
1998;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ACRARU"
1999;"Terrestre";0,870870535714286;0,994419642857143;1,13169642857143;1,26897321428571;1,39252232142857;"ACRARU"
2000;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
2002;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
2003;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
2004;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
2006;"Terrestre";1,3125;1,875;2,5;3,125;3,6875;"ACRARU"
2007;"Terrestre";2,1953125;2,265625;2,34375;2,421875;2,4921875;"ACRARU"
2008;"Terrestre";3,140625;3,28125;3,4375;3,59375;3,734375;"ACRARU"
2009;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRARU"
2010;"Terrestre";1,40625;1,40625;1,40625;1,40625;1,40625;"ACRARU"
2011;"Terrestre";4,61538461538461;4,61538461538461;4,61538461538461;4,61538461538461;4,61538461538461;"ACRARU"
2012;"Terrestre";4,8;4,8;4,8;4,8;4,8;"ACRARU"
2013;"Terrestre";3;3;3;3;3;"ACRARU"
2015;"Terrestre";6;6;6;6;6;"ACRARU"
2019;"Terrestre";3;3;3;3;3;"ACRARU"
1989;"Terrestre";11,6666666666667;11,6666666666667;11,6666666666667;11,6666666666667;11,6666666666667;"ACRRIS"
1990;"Terrestre";0,945170454545455;1,01420454545455;1,09090909090909;3,54545454545455;5,75454545454546;"ACRRIS"
1991;"Terrestre";1,28125;1,5625;1,875;3,27083333333333;4,52708333333333;"ACRRIS"
1992;"Terrestre";1,0015625;1,578125;2,21875;2,859375;3,4359375;"ACRRIS"
1993;"Terrestre";1,0140625;1,703125;2,46875;3,234375;3,9234375;"ACRRIS"
1995;"Terrestre";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;"ACRRIS"
1996;"Terrestre";1,04739583333333;2,03645833333333;3,13541666666667;4,234375;5,2234375;"ACRRIS"
1997;"Terrestre";1,75677083333333;3,50520833333333;5,44791666666667;7,390625;9,1390625;"ACRRIS"
1998;"Terrestre";1,31875;1,9375;2,625;3,3125;3,93125;"ACRRIS"
1999;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRRIS"
2000;"Terrestre";0,988136574074074;1,44386574074074;1,95023148148148;2,45659722222222;2,91232638888889;"ACRRIS"
2001;"Terrestre";2,35897435897436;2,82051282051282;3,33333333333333;4,5;5,55;"ACRRIS"
2002;"Terrestre";2,7797619047619;2,79761904761905;2,81746031746032;2,83730158730159;2,85515873015873;"ACRRIS"
2003;"Terrestre";1,40848214285714;1,42857142857143;1,5;2,30769230769231;10,7307692307692;"ACRRIS"
2004;"Terrestre";1,9375;2,5;10;14,4444444444444;39,6944444444444;"ACRRIS"
2005;"Terrestre";1,875;2,65625;5;13,4027777777778;51,2083333333333;"ACRRIS"
2006;"Terrestre";1,515625;2,5;12,5;17,7777777777778;52,7777777777778;"ACRRIS"
2007;"Terrestre";1,08182565789474;2,74038461538462;5,88888888888889;9,6875;58,625;"ACRRIS"
2008;"Terrestre";1,24579326923077;2,375;4;8,33333333333333;31,6875;"ACRRIS"
2009;"Terrestre";1,40865384615385;2,48717948717949;2,72727272727273;10,3333333333333;26,0833333333333;"ACRRIS"
2010;"Terrestre";1,85924369747899;2,40384615384615;5,45454545454546;11;21,0416666666667;"ACRRIS"
2011;"Terrestre";1,34868421052632;2,30769230769231;3,42857142857143;12,5;18,125;"ACRRIS"
2012;"Terrestre";1,76315789473684;3;6;10;18,5;"ACRRIS"
2013;"Terrestre";1,7246963562753;3;6,25;11,8181818181818;27,5;"ACRRIS"
2014;"Terrestre";2,01041666666667;3;4,5;6,66666666666667;17,6;"ACRRIS"
2015;"Terrestre";1,2109375;3;7,5;14,25;21,0416666666667;"ACRRIS"
2016;"Terrestre";1,79166666666667;2,625;6,28125;11,25;19,8291666666667;"ACRRIS"
2017;"Terrestre";1,80288461538462;2,875;4,75;7,734375;18,75;"ACRRIS"
2018;"Terrestre";2,5;2,625;3;4,5;13,65;"ACRRIS"
2019;"Terrestre";2,6125;3,375;6,83333333333333;8,9375;13,0381578947368;"ACRRIS"
2020;"Terrestre";8,103125;9,03125;10,1875;11,4230769230769;12,5653846153846;"ACRRIS"
1990;"Terrestre";0,272727272727273;0,272727272727273;0,272727272727273;0,272727272727273;0,272727272727273;"ACRSCH"
1991;"Terrestre";2,57142857142857;2,57142857142857;2,57142857142857;2,57142857142857;2,57142857142857;"ACRSCH"
1992;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRSCH"
1996;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ACRSCH"
1997;"Terrestre";2,1875;2,1875;2,1875;2,1875;2,1875;"ACRSCH"
1998;"Terrestre";3,75;3,75;3,75;3,75;3,75;"ACRSCH"
1999;"Terrestre";5,15625;5,15625;5,15625;5,15625;5,15625;"ACRSCH"
2000;"Terrestre";1,55;2;2,5;2,5462962962963;2,58796296296296;"ACRSCH"
2001;"Terrestre";1,82301587301587;2,8015873015873;3,88888888888889;6,06944444444444;8,03194444444444;"ACRSCH"
2002;"Terrestre";1,21689814814815;2,04398148148148;2,96296296296296;3,51273148148148;4,00752314814815;"ACRSCH"
2003;"Terrestre";8,4375;8,4375;8,4375;8,4375;8,4375;"ACRSCH"
2004;"Terrestre";1,184375;2,84375;4,6875;9,42708333333333;13,6927083333333;"ACRSCH"
2005;"Terrestre";2,05;2,5;3;3,75;18,375;"ACRSCH"
2006;"Terrestre";2,140625;4,53125;7,1875;9,84375;12,234375;"ACRSCH"
2007;"Terrestre";1,05;1,5;2;5,16666666666667;8,01666666666667;"ACRSCH"
2008;"Terrestre";2,025;2,25;2,5;2,5;2,5;"ACRSCH"
2009;"Terrestre";1,021875;1,75;2,30769230769231;2,5;6,75;"ACRSCH"
2010;"Terrestre";0,946875;1,4375;2;3,80769230769231;6,00480769230769;"ACRSCH"
2011;"Terrestre";5,1875;6,875;10,25;15,8863636363636;23,6795454545455;"ACRSCH"
2012;"Terrestre";1,225;2,75;4,5;5,64393939393939;8,98863636363636;"ACRSCH"
2013;"Terrestre";1,96875;2,61363636363636;3;9,75;18,0272727272727;"ACRSCH"
2014;"Terrestre";2,575;3;3,125;11;21,1704545454545;"ACRSCH"
2015;"Terrestre";3,15;4,5;9;10,5;11,175;"ACRSCH"
2016;"Terrestre";1,96022727272727;2,72727272727273;5;10,5;12,3;"ACRSCH"
2017;"Terrestre";2,65760869565217;3,5;5,5;12,75;23,203125;"ACRSCH"
2018;"Terrestre";3;3;5;7,5;15,6;"ACRSCH"
2019;"Terrestre";1,1;2,33333333333333;3;4,5;6,56666666666667;"ACRSCH"
2020;"Terrestre";2,6125;3,625;4,14285714285714;7,01058201058201;14,3677248677249;"ACRSCH"
1990;"Terrestre";1,42954545454545;5,29545454545454;7,88744588744589;10,5357142857143;14,5535714285714;"ACRSCI"
1991;"Terrestre";1,02205882352941;1,59663865546218;4,15584415584416;5,64935064935065;6,72991071428572;"ACRSCI"
1992;"Terrestre";0,660294117647059;1,65625;3,73809523809524;5,38636363636364;17,0009232954545;"ACRSCI"
1993;"Terrestre";1,01004464285714;1,66294642857143;3,09523809523809;7,04241071428571;14,4854910714286;"ACRSCI"
1994;"Terrestre";2,25;3,21428571428571;4,28571428571429;9,17410714285714;13,5736607142857;"ACRSCI"
1995;"Terrestre";0,889355742296919;0,952380952380952;1;5,71428571428571;16,3214285714286;"ACRSCI"
1996;"Terrestre";0,73963133640553;0,967741935483871;10,5714285714286;13,125;15,9375;"ACRSCI"
1997;"Terrestre";0,747767857142857;1,04567307692308;5,3125;12,65625;12,8504464285714;"ACRSCI"
1998;"Terrestre";1,25961538461538;2,1547619047619;3,30952380952381;8,5;11,640625;"ACRSCI"
1999;"Terrestre";6,17142857142857;7,71428571428572;9,45535714285714;11,328125;13,2265625;"ACRSCI"
2000;"Terrestre";1,59027777777778;3,23809523809524;8,76785714285714;13,59375;15,46875;"ACRSCI"
2001;"Terrestre";0,773809523809524;1,22222222222222;2,30769230769231;6,28571428571429;11,0625;"ACRSCI"
2002;"Terrestre";0,724107142857143;1,08333333333333;2,34432234432234;4,875;17,60625;"ACRSCI"
2003;"Terrestre";1,36538461538462;2,48148148148148;5,71428571428571;13,8125;22,46875;"ACRSCI"
2004;"Terrestre";1,03584229390681;1,91666666666667;5;8,79605263157895;17,5;"ACRSCI"
2005;"Terrestre";1,07307692307692;2,82692307692308;6,08974358974359;13,328125;19,925;"ACRSCI"
2006;"Terrestre";0,97165991902834;4,28571428571429;7,5;10,8571428571429;30,3125;"ACRSCI"
2007;"Terrestre";1,19166666666667;2,93650793650794;6,25;14,1346153846154;32,3125;"ACRSCI"
2008;"Terrestre";1,42857142857143;3;5,45454545454546;8,75;24,625;"ACRSCI"
2009;"Terrestre";0,757518796992481;1,875;3,52380952380952;9,58333333333333;22,0208333333333;"ACRSCI"
2010;"Terrestre";1,25919732441472;2;2,8125;6,92307692307692;28,5;"ACRSCI"
2011;"Terrestre";1,35;2,89855072463768;4;10;37,3409090909091;"ACRSCI"
2012;"Terrestre";1,23214285714286;2,72727272727273;3,75;8,18181818181818;40,7272727272727;"ACRSCI"
2013;"Terrestre";0,825;2,45192307692308;4,22287390029325;9,14130434782609;36,2522727272727;"ACRSCI"
2014;"Terrestre";1,40480769230769;2,5;3,87684989429175;12,3846153846154;37,4727272727273;"ACRSCI"
2015;"Terrestre";0,971428571428571;2,72727272727273;5;12;39,3454545454546;"ACRSCI"
2016;"Terrestre";1,01785714285714;2,30769230769231;6,15384615384615;14;37,6181818181818;"ACRSCI"
2017;"Terrestre";1,734375;2,5;6,69230769230769;10,78125;34,75;"ACRSCI"
2018;"Terrestre";1,16142857142857;2,10526315789474;3,46153846153846;10;30,1181818181818;"ACRSCI"
2019;"Terrestre";1,35234651711924;2,22110754414125;3;13;29,225;"ACRSCI"
2020;"Terrestre";2,1;2,5;6,66666666666667;9,78260869565217;17,6;"ACRSCI"
1989;"Terrestre";5,19230769230769;5,19230769230769;5,19230769230769;5,19230769230769;5,19230769230769;"AEGCAU"
1990;"Terrestre";0,609756097560976;0,771259063941991;1,42857142857143;2,09265734265734;2,91818181818182;"AEGCAU"
1991;"Terrestre";0,805288461538461;1,12980769230769;1,51785714285714;1,88474025974026;2,15211038961039;"AEGCAU"
1992;"Terrestre";1,16276223776224;1,24300699300699;2,35064935064935;3,64285714285714;4,22142857142857;"AEGCAU"
1993;"Terrestre";0,725446428571429;1,62020905923345;2,81184668989547;4,38655462184874;4,87910067873303;"AEGCAU"
1994;"Terrestre";0,705357142857143;1,42857142857143;2,14285714285714;2,19512195121951;3,33489681050657;"AEGCAU"
1995;"Terrestre";0,59793956043956;0,787087912087912;1,05357142857143;1,40625;1,828125;"AEGCAU"
1996;"Terrestre";0,912162162162162;1,62162162162162;1,71428571428571;2,14285714285714;2,29120879120879;"AEGCAU"
1997;"Terrestre";0,82664695945946;0,945060483870968;1,06079404466501;1,69471153846154;3,359375;"AEGCAU"
1998;"Terrestre";1,234375;1,875;1,9375;3,09615384615385;4,18269230769231;"AEGCAU"
1999;"Terrestre";0,82347972972973;0,9375;1,42857142857143;6;10,725;"AEGCAU"
2000;"Terrestre";1,43839285714286;2,8125;3;3;4,15714285714286;"AEGCAU"
2001;"Terrestre";0,740830115830116;0,903061224489796;2,15384615384615;3,6375;5,43552631578947;"AEGCAU"
2002;"Terrestre";0,653061224489796;0,967741935483871;1,875;2,8125;8,40000000000001;"AEGCAU"
2003;"Terrestre";0,66188637617209;1,88235294117647;3;6,57142857142857;9,78846153846154;"AEGCAU"
2004;"Terrestre";0,91578947368421;1,57894736842105;2,30769230769231;3,87096774193548;6,17647058823529;"AEGCAU"
2005;"Terrestre";0,942460317460317;2,10714285714286;3;5,39423076923077;17,6323529411765;"AEGCAU"
2006;"Terrestre";1,04761904761905;2;2,64705882352941;4,25;10,3125;"AEGCAU"
2007;"Terrestre";1,08333333333333;2,03571428571429;3;5,50164473684211;15,2960526315789;"AEGCAU"
2008;"Terrestre";1,1875;3,10714285714286;4,54545454545454;6,46153846153846;15;"AEGCAU"
2009;"Terrestre";0,934562211981567;2;3,15789473684211;5;9,3;"AEGCAU"
2010;"Terrestre";1,28125;2,30769230769231;3,46153846153846;5;9,67788461538462;"AEGCAU"
2011;"Terrestre";1,36666666666667;2,30769230769231;3,21428571428571;6,66666666666667;15,2816326530612;"AEGCAU"
2012;"Terrestre";1,54934210526316;3,38235294117647;5,35227272727273;8,76923076923077;12,2039473684211;"AEGCAU"
2013;"Terrestre";1,41241610738255;2,70676691729323;3;5,35714285714286;14,25;"AEGCAU"
2014;"Terrestre";2,00657894736842;3,75;5;8,04545454545454;12,675;"AEGCAU"
2015;"Terrestre";2,01071428571429;2,5;4,01785714285714;6,375;22,7083333333333;"AEGCAU"
2016;"Terrestre";1,875;3;4;6;12,7659574468085;"AEGCAU"
2017;"Terrestre";1,44375;2,5;4,28571428571429;6,92307692307692;13,6363636363636;"AEGCAU"
2018;"Terrestre";1,4625;2,5;3,5;6,5625;15,225;"AEGCAU"
2019;"Terrestre";1,53552631578947;2,5;4,75;7,875;18,15;"AEGCAU"
2020;"Terrestre";1,48;2,40384615384615;2,72727272727273;5;8,475;"AEGCAU"
1990;"Terrestre";0,714285714285714;0,714285714285714;0,714285714285714;0,714285714285714;0,714285714285714;"ALCATT"
1991;"Terrestre";0,714285714285714;0,714285714285714;0,714285714285714;0,714285714285714;0,714285714285714;"ALCATT"
1992;"Terrestre";0,476190476190476;0,476190476190476;0,476190476190476;0,476190476190476;0,476190476190476;"ALCATT"
1993;"Terrestre";0,721428571428571;0,785714285714286;0,857142857142857;0,897321428571429;0,933482142857143;"ALCATT"
1994;"Terrestre";0,976339285714286;1,32589285714286;1,71428571428571;2,04761904761905;2,34761904761905;"ALCATT"
1995;"Terrestre";0,717857142857143;0,75;0,785714285714286;0,821428571428571;0,853571428571429;"ALCATT"
1996;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"ALCATT"
1997;"Terrestre";1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;"ALCATT"
1998;"Terrestre";1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;1,42857142857143;"ALCATT"
2000;"Terrestre";1,11111111111111;1,11111111111111;1,11111111111111;1,11111111111111;1,11111111111111;"ALCATT"
2001;"Terrestre";1,44285714285714;1,57142857142857;1,71428571428571;2,58791208791209;3,37417582417582;"ALCATT"
2002;"Terrestre";0,532986111111111;1,11111111111111;1,5;2,14285714285714;2,91428571428571;"ALCATT"
2003;"Terrestre";0,959201388888889;1,30208333333333;1,9375;3,17857142857143;5,69642857142857;"ALCATT"
2004;"Terrestre";0,985243055555556;1,26536098310292;1,6875;2,125;4,45;"ALCATT"
2005;"Terrestre";0,995657568238213;1,20192307692308;1,42857142857143;2,1875;3,775;"ALCATT"
2006;"Terrestre";1,884375;1,96875;2,11111111111111;2,60416666666667;3,63541666666667;"ALCATT"
2007;"Terrestre";0,856770833333333;1,12179487179487;1,85714285714286;2,45192307692308;3,58125;"ALCATT"
2008;"Terrestre";0,709134615384615;1,46634615384615;2,30769230769231;2,82051282051282;3,28205128205128;"ALCATT"
2009;"Terrestre";0,914285714285714;1,42857142857143;2,30769230769231;2,5;2,95;"ALCATT"
2010;"Terrestre";0,959201388888889;1,12179487179487;1,94055944055944;2,93181818181818;3;"ALCATT"
2011;"Terrestre";1,07472527472527;2,30769230769231;2,5;4,36363636363636;9,06;"ALCATT"
2012;"Terrestre";1,04342105263158;1,43421052631579;2,04821494295178;4,42332315571752;9,56909287895203;"ALCATT"
2013;"Terrestre";0,757518796992481;1,14661654135338;1,57894736842105;2,28947368421053;2,92894736842105;"ALCATT"
2014;"Terrestre";1,25714285714286;1,5;2;2,5;3,68181818181818;"ALCATT"
2015;"Terrestre";1,01111111111111;1,11111111111111;1,5;3;5,7;"ALCATT"
2016;"Terrestre";1,52083333333333;1,69117647058824;1,88235294117647;2,375;2,9375;"ALCATT"
2017;"Terrestre";1,5375;1,875;2,14285714285714;2,72727272727273;2,97272727272727;"ALCATT"
2018;"Terrestre";0,957589285714286;1,53571428571429;2,5;3;3,6375;"ALCATT"
2019;"Terrestre";1,07142857142857;1,16071428571429;2;2,5;2,925;"ALCATT"
2020;"Terrestre";2;2;2;2,25;2,475;"ALCATT"
1989;"Terrestre";2,69230769230769;2,69230769230769;2,69230769230769;2,69230769230769;2,69230769230769;"ANTTRI"
1990;"Terrestre";0,829093799682035;0,993640699523052;1,17647058823529;1,35746606334842;1,52036199095023;"ANTTRI"
1991;"Terrestre";0,8203125;0,905827702702703;0,96875;1,13461538461538;1,49807692307692;"ANTTRI"
1992;"Terrestre";1,53846153846154;1,53846153846154;1,53846153846154;1,53846153846154;1,53846153846154;"ANTTRI"
1993;"Terrestre";0,639904610492846;1,10492845786963;1,62162162162162;1,67619542619543;1,72531185031185;"ANTTRI"
1994;"Terrestre";1,73817567567568;1,80483367983368;1,87889812889813;1,95296257796258;2,01962058212058;"ANTTRI"
1995;"Terrestre";0,597567873303167;0,681561085972851;0,774886877828054;0,868212669683258;0,952205882352941;"ANTTRI"
1996;"Terrestre";0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;"ANTTRI"
1997;"Terrestre";0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;"ANTTRI"
1998;"Terrestre";6;6;6;6;6;"ANTTRI"
1999;"Terrestre";0,617209045780474;0,66188637617209;0,711527854384997;0,761169332597904;0,80584666298952;"ANTTRI"
2000;"Terrestre";0,816326530612245;0,816326530612245;0,816326530612245;0,816326530612245;0,816326530612245;"ANTTRI"
