"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2001;"Aquatique";"Court";0,354838709677419;0,354838709677419;0,354838709677419;0,354838709677419;0,354838709677419
2002;"Aquatique";"Court";1;1;1;1;1
2003;"Aquatique";"Court";0,8175;0,975;1,15;1,325;1,4825
2005;"Aquatique";"Court";0,942857142857143;1,07142857142857;1,21428571428571;1,35714285714286;1,48571428571429
2006;"Aquatique";"Court";0,354458041958042;0,680944055944056;1,04370629370629;1,40646853146853;1,73295454545455
2007;"Aquatique";"Court";0,537774725274725;1,57005494505495;2,17619047619048;2,8;3,88
2008;"Aquatique";"Court";0,4571875;0,634375;0,775;1,4625;3,11625
2009;"Aquatique";"Court";0,408423913043478;0,709239130434783;1,04347826086957;1,43840579710145;1,79384057971015
2010;"Aquatique";"Court";0,601153846153846;0,611538461538462;0,736263736263736;2;5,08571428571428
2011;"Aquatique";"Court";0,411024844720497;0,979813664596273;1,63095238095238;2,30357142857143;2,93035714285714
2012;"Aquatique";"Court";0,01875;0,1875;0,375;0,55;0,685
2013;"Aquatique";"Court";0,330392156862745;0,656862745098039;0,888888888888889;1,13888888888889;1,51388888888889
2014;"Aquatique";"Court";0,575833333333333;0,583333333333333;0,972972972972973;2,83333333333333;2,98333333333333
2015;"Aquatique";"Court";0,259166666666667;0,577083333333333;0,814542483660131;1,29736842105263;2,89815789473684
2016;"Aquatique";"Court";0,368872549019608;0,623949579831933;0,696428571428571;1,00568181818182;1,25
2017;"Aquatique";"Court";0,664596273291925;1;1,55;2,14285714285714;2,24137931034483
2018;"Aquatique";"Court";0,860714285714286;0,923076923076923;1,31578947368421;2,26315789473684;3,31136363636364
2019;"Aquatique";"Court";0,354166666666667;0,541666666666667;0,766666666666667;1,18888888888889;1,53703703703704
2020;"Aquatique";"Court";0;0;0;0;0
1997;"STOC-rozo";"Court";0,236111111111111;0,361111111111111;0,5;0,583333333333333;0,658333333333333
1998;"STOC-rozo";"Court";0,503571428571429;0,535714285714286;0,571428571428571;0,619047619047619;0,661904761904762
1999;"STOC-rozo";"Court";0,382175925925926;0,446759259259259;0,518518518518518;0,525925925925926;0,532592592592593
2000;"STOC-rozo";"Court";0,276357466063348;0,340497737556561;0,411764705882353;0,483660130718954;0,548366013071895
2001;"STOC-rozo";"Court";0;0,375;1;2,33333333333333;2,96666666666667
2002;"STOC-rozo";"Court";0,0125;0,2875;1,58235294117647;2,04166666666667;2,85069444444444
2003;"STOC-rozo";"Court";0,0255813953488372;0,428571428571429;0,727272727272727;1,17094017094017;2,08303571428571
2004;"STOC-rozo";"Court";0,18796992481203;0,464285714285714;0,55;1,47619047619048;2,11757575757576
2005;"STOC-rozo";"Court";0,238020833333333;0,350852272727273;0,516666666666667;0,964428191489362;2,7703125
2006;"STOC-rozo";"Court";0,177083333333333;0,373076923076923;0,935483870967742;1,32575757575758;2,44711538461538
2007;"STOC-rozo";"Court";0,439746732026144;1,03947368421053;1,41176470588235;2,05681818181818;3,59553571428571
2008;"STOC-rozo";"Court";0;0,333333333333333;0,652173913043478;1;2,72727272727273
2009;"STOC-rozo";"Court";0,105769230769231;0,7225;1,61695652173913;2,01923076923077;4,06833333333333
2010;"STOC-rozo";"Court";0,0333333333333333;0,5;0,894736842105263;1,27777777777778;2,0775
2011;"STOC-rozo";"Court";0,207692307692308;0,291666666666667;0,851063829787234;1,67775467775468;3,52477477477477
2012;"STOC-rozo";"Court";0,147004608294931;0,19472049689441;0,366666666666667;0,573863636363636;1
2013;"STOC-rozo";"Court";0;0,297297297297297;0,571428571428571;1;2,38181818181818
2014;"STOC-rozo";"Court";0,801538461538462;1;1,71428571428571;3,18181818181818;4,26666666666667
2015;"STOC-rozo";"Court";0,0392857142857143;0,360690235690236;0,627450980392157;1,08020833333333;1,19904214559387
2016;"STOC-rozo";"Court";0,0733870967741936;0,430925666199159;0,725;1,14705882352941;3,36323529411765
2017;"STOC-rozo";"Court";0,5;0,703125;1,43181818181818;1,675;2,49444444444444
2018;"STOC-rozo";"Court";0,075;0,590909090909091;0,9;1,5;2,6
2019;"STOC-rozo";"Court";0,135507246376812;0,813461538461538;1,13225806451613;1,70673076923077;2,46041666666667
2020;"STOC-rozo";"Court";0,241025641025641;0,333333333333333;1,33333333333333;1,5;1,70769230769231
1989;"Terrestre";"Court";0,105528846153846;0,492788461538462;0,923076923076923;1,10942578548212;1,2771397616468
