"AGE_first";"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";2003;"Aquatique";-0,108730158730159;-0,0222222222222222;0,0222222222222222;0,0666666666666667;0,237777777777778
"JUV";2003;"Aquatique";-0,117647058823529;-0,0941558441558442;-0,0217391304347826;0,0558252427184465;0,0794642857142857
"AD";2005;"Aquatique";-0,111111111111111;-0,0666666666666667;-0,0222222222222222;0,0452020202020202;0,198888888888889
"JUV";2005;"Aquatique";-0,139822134387352;-0,0374331550802139;0;0,0454545454545455;0,147058823529412
"AD";2006;"Aquatique";-0,111111111111111;-0,0222222222222222;0,0222222222222222;0,0666666666666667;0,2
"JUV";2006;"Aquatique";-0,0588235294117647;-0,0294117647058824;0;0,0416666666666667;0,137878787878788
"AD";2007;"Aquatique";-0,116835443037975;-0,04;0,0222222222222222;0,0666666666666667;0,155555555555556
"JUV";2007;"Aquatique";-0,146341463414634;-0,0588235294117647;0;0,0476190476190476;0,136160714285714
"AD";2008;"Aquatique";-0,111111111111111;-0,0222222222222222;0,0222222222222222;0,0666666666666667;0,222222222222222
"JUV";2008;"Aquatique";-0,146987087517934;-0,0294117647058824;0;0,0588235294117647;0,146638655462185
"AD";2009;"Aquatique";-0,160555555555556;-0,0246246246246246;0;0,0666666666666667;0,180053511303511
"JUV";2009;"Aquatique";-0,144117647058824;-0,0588235294117647;0;0,0454545454545455;0,105952380952381
"AD";2010;"Aquatique";-0,111111111111111;-0,0222222222222222;0,0222222222222222;0,0666666666666667;0,244444444444444
"JUV";2010;"Aquatique";-0,125;-0,0476190476190476;0;0,0454545454545455;0,167045454545454
"AD";2011;"Aquatique";-0,133873873873874;-0,0444444444444444;0;0,055045871559633;0,167486631016043
"JUV";2011;"Aquatique";-0,135227272727273;-0,0303030303030303;0;0,0588235294117647;0,171354166666667
"AD";2012;"Aquatique";-0,111111111111111;-0,0222222222222222;0,0222222222222222;0,0666666666666667;0,222777777777778
"JUV";2012;"Aquatique";-0,188586956521739;-0,0560224089635854;0;0;0,0916666666666667
"AD";2013;"Aquatique";-0,111111111111111;-0,0384615384615385;0;0,0444444444444444;0,2
"JUV";2013;"Aquatique";-0,192316017316017;-0,0266106442577031;0,0119047619047619;0,0657142857142857;0,117045454545454
"AD";2014;"Aquatique";-0,152794117647059;-0,0444444444444444;0,0222222222222222;0,0666666666666667;0,212389240506329
"JUV";2014;"Aquatique";-0,181090909090909;-0,0776699029126214;0;0,0476190476190476;0,142857142857143
"AD";2015;"Aquatique";-0,126201342281879;-0,0444444444444444;0;0,0555555555555556;0,2
"JUV";2015;"Aquatique";-0,125;-0,0351890756302521;0;0,0476190476190476;0,140746753246753
"AD";2016;"Aquatique";-0,155555555555556;-0,0614513422818792;0;0,0666666666666667;0,2
"JUV";2016;"Aquatique";-0,145557491289199;-0,0476190476190476;-0,00310559006211185;0,0345804195804197;0,113180803571429
"AD";2017;"Aquatique";-0,155555555555556;-0,0449494949494949;-0,00444444444444451;0,0444444444444444;0,222222222222222
"JUV";2017;"Aquatique";-0,136363636363636;-0,0454545454545455;0;0,0454545454545455;0,143988095238095
"AD";2018;"Aquatique";-0,133693693693694;-0,0444444444444444;0;0,060126582278481;0,16643137254902
"JUV";2018;"Aquatique";-0,127205882352941;-0,0361498257839721;0;0,0476190476190476;0,142857142857143
"AD";2019;"Aquatique";-0,133333333333333;-0,0588235294117647;-0,0135135135135135;0,0444444444444444;0,197777777777777
"JUV";2019;"Aquatique";-0,125;-0,0476190476190476;-0,0232683982683983;0,0450132391879964;0,135909090909091
"AD";2020;"Aquatique";-0,111538461538461;-0,111538461538461;-0,111538461538461;-0,111538461538461;-0,111538461538461
"AD";1997;"STOC-rozo";-0,111111111111111;-0,0222222222222222;-0,0222222222222222;0,0666666666666667;0,155555555555556
"JUV";1997;"STOC-rozo";-0,117647058823529;-0,0476190476190476;0;0,0625;0,179144385026738
"AD";1998;"STOC-rozo";-0,111111111111111;-0,0222222222222222;-0,0222222222222222;0,0666666666666667;0,244444444444444
"JUV";1998;"STOC-rozo";-0,185185185185185;-0,0476190476190476;0;0,0476190476190476;0,142857142857143
"AD";1999;"STOC-rozo";-0,02;0;0,0222222222222222;0,0444444444444444;0,0644444444444444
"AD";2000;"STOC-rozo";-0,12;-0,0222222222222222;-0,0222222222222222;0,0666666666666667;0,2
"JUV";2000;"STOC-rozo";-0,111274509803922;-0,0476190476190476;0,0476190476190476;0,0476190476190476;0,142857142857143
"AD";2001;"STOC-rozo";-0,130541696364932;-0,0222222222222222;0;0,0666666666666667;0,244444444444444
"JUV";2001;"STOC-rozo";-0,111111111111111;-0,0303030303030303;0;0,0559006211180123;0,119402985074627
"AD";2002;"STOC-rozo";-0,155555555555556;-0,0577777777777778;-0,0222222222222222;0,0402013422818792;0,2
"JUV";2002;"STOC-rozo";-0,147720588235294;-0,0568933823529412;0;0,044776119402985;0,152685436454093
"AD";2003;"STOC-rozo";-0,135135135135135;-0,0632911392405063;-0,00844553243574053;0,0666666666666667;0,200949367088608
"JUV";2003;"STOC-rozo";-0,146278935185185;-0,0588235294117647;0;0,0476190476190476;0,136363636363636
"AD";2004;"STOC-rozo";-0,155555555555556;-0,0666666666666667;-0,0222222222222222;0,0303030303030303;0,16018018018018
"JUV";2004;"STOC-rozo";-0,142857142857143;-0,0544117647058824;0;0,037037037037037;0,148214285714286
"AD";2005;"STOC-rozo";-0,111349206349206;-0,0444444444444444;-0,0175425157039987;0,0563053199336161;0,2
"JUV";2005;"STOC-rozo";-0,175909090909091;-0,0588235294117647;0;0,0294117647058824;0,0938311688311688
"AD";2006;"STOC-rozo";-0,130444444444444;-0,0399999999999999;0;0,0666666666666667;0,207777777777778
"JUV";2006;"STOC-rozo";-0,142857142857143;-0,0369047619047619;0;0,0476190476190476;0,184943181818182
"AD";2007;"STOC-rozo";-0,136852852852853;-0,0311111111111111;0;0,0666666666666667;0,193390129259694
"JUV";2007;"STOC-rozo";-0,126865671641791;-0,0303030303030303;0,00682292875377115;0,0606060606060606;0,16424431241849
"AD";2008;"STOC-rozo";-0,126;-0,027027027027027;0,0222222222222222;0,0666666666666667;0,203648648648648
"JUV";2008;"STOC-rozo";-0,122370766488414;-0,0243902439024389;0,00952380952380949;0,0671641791044776;0,174598930481283
"AD";2009;"STOC-rozo";-0,142664092664093;-0,0399999999999999;-0,0107153752287981;0,0666666666666667;0,244444444444444
"JUV";2009;"STOC-rozo";-0,125;-0,0327956989247312;0;0,0625;0,180681818181818
"AD";2010;"STOC-rozo";-0,140121621621622;-0,0329794256793927;0;0,0666666666666667;0,2
"JUV";2010;"STOC-rozo";-0,145046082949309;-0,0476190476190476;0;0,0476190476190476;0,148093681917211
"AD";2011;"STOC-rozo";-0,134774774774775;-0,0604026845637584;-0,0133333333333334;0,0333333333333333;0,2
"JUV";2011;"STOC-rozo";-0,142857142857143;-0,0454545454545455;0;0,044776119402985;0,142331932773109
"AD";2012;"STOC-rozo";-0,135902948402948;-0,0599404318689501;-0,0189873417721519;0,0552048582151793;0,1975
"JUV";2012;"STOC-rozo";-0,125515776699029;-0,0476190476190476;0;0,045855614973262;0,0997619047619047
"AD";2013;"STOC-rozo";-0,111111111111111;-0,0222222222222222;0,0138888888888889;0,0666666666666667;0,241311475409835
"JUV";2013;"STOC-rozo";-0,142857142857143;-0,0485074626865672;0;0,0344827586206897;0,21205223880597
"AD";2014;"STOC-rozo";-0,135135135135135;-0,047139661233621;0;0,0335570469798658;0,155555555555556
