"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"ERIRUB";1990;"AD";"Court";15,3427083333333;16,5520833333333;17,8857142857143;18,8285714285714;18,9828571428571;"Terrestre"
"FRICOE";1990;"AD";"Court";20,2418518518518;20,862962962963;21,5530864197531;22,2432098765432;22,8643209876543;"Terrestre"
"PARCAE";1990;"AD";"Court";10,8731617647059;11,2316176470588;11,6299019607843;12,0281862745098;12,3866421568627;"Terrestre"
"PARMAJ";1990;"AD";"Court";16,6901408450704;16,9014084507042;17,2297297297297;17,7631578947368;17,9763157894737;"Terrestre"
"PHYCOL";1990;"AD";"Court";6,92416666666667;7,75740740740741;9;9,91666666666667;12,2036842105263;"Terrestre"
"PRUMOD";1990;"AD";"Court";17,65;19;19,4444444444444;22,3611111111111;23,5449346405229;"Terrestre"
"PYRULA";1990;"AD";"Court";21,39375;21,39375;21,39375;21,39375;21,39375;"Terrestre"
"SYLATR";1990;"AD";"Court";15,5959598296927;17,4555689399555;18,0008330248056;18,8087162162162;20,912705399061;"Terrestre"
"TROTRO";1990;"AD";"Court";10,4456227836879;10,6264406028369;10,8273492907801;11,0282579787234;11,2090757978723;"Terrestre"
"TURMER";1990;"AD";"Court";80,765977443609;84,8635675348274;88,2692307692308;90,8163030998852;95,81625;"Terrestre"
"TURPHI";1990;"AD";"Court";61,1209482758621;62,5094827586207;64,0522988505747;65,5951149425287;66,9836494252874;"Terrestre"
"AEGCAU";1991;"AD";"Court";8;8;8;8;8;"Terrestre"
"ERIRUB";1991;"AD";"Court";14,7946666666667;15,6778523489933;16,2222222222222;16,7702702702703;19,7179968701095;"Terrestre"
"FRICOE";1991;"AD";"Court";20,1817866555694;20,2623110001387;20,7633513663476;21,3627075351213;21,7086845466156;"Terrestre"
"PARCAE";1991;"AD";"Court";10,4027966485507;10,7670969202899;11,171875;11,171875;11,171875;"Terrestre"
"PARMAJ";1991;"AD";"Court";15,4295704295704;16,1621640537514;16,9507042253521;17,3546342174293;18,5717429577465;"Terrestre"
"PHYCOL";1991;"AD";"Court";6,82973360655738;7,07743362831858;7,67530407191962;8,10344827586207;9,39583333333333;"Terrestre"
"PRUMOD";1991;"AD";"Court";17,8298916377019;18,3066693330667;18,5294117647059;19,2534837425348;19,7855430874823;"Terrestre"
"SYLATR";1991;"AD";"Court";14,2327724358974;15,833491391888;16,8851351351351;18,0024657534247;19,9441863738739;"Terrestre"
"TROTRO";1991;"AD";"Court";9,56585081585082;10,5376344086022;10,6732673267327;10,8888888888889;11,2841346153846;"Terrestre"
"TURMER";1991;"AD";"Court";77,25;80,7936907881476;88,3078437310721;91,9254098360656;98,9777777777778;"Terrestre"
"TURPHI";1991;"AD";"Court";64,9;64,9;64,9;64,9;64,9;"Terrestre"
"ERIRUB";1992;"AD";"Court";14,1939618746965;15,0706532297232;16,0447547353084;17,0188562408936;17,8955475959203;"Terrestre"
"FRICOE";1992;"AD";"Court";19,6771739130435;20,0978260869565;20,5652173913044;21,0326086956522;21,4532608695652;"Terrestre"
"PARCAE";1992;"AD";"Court";10,8409624413146;10,9096244131455;10,9859154929577;11,6834339369551;12,3112005365527;"Terrestre"
"PARMAJ";1992;"AD";"Court";19;19;19;19;19;"Terrestre"
"PHYCOL";1992;"AD";"Court";6,82158985462419;7,28147231673368;7,79245283018868;8,11051212938005;8,39676549865229;"Terrestre"
"PRUMOD";1992;"AD";"Court";17,7827660406886;18,1093505477308;18,4722222222222;18,7361111111111;18,9736111111111;"Terrestre"
"SYLATR";1992;"AD";"Court";15,7700540540541;16,5875352112676;17,2353025114155;18,62;19,4003082191781;"Terrestre"
"TROTRO";1992;"AD";"Court";11,468085106383;11,468085106383;11,468085106383;11,468085106383;11,468085106383;"Terrestre"
"TURMER";1992;"AD";"Court";72,7213345864662;76,7982456140351;82,7027027027027;86,1587434597776;96,6469465648855;"Terrestre"
"TURPHI";1992;"AD";"Court";62,4830701754386;67,280701754386;67,280701754386;71,4210526315789;72,3526315789474;"Terrestre"
"ERIRUB";1993;"AD";"Court";14,3943661971831;15,2995833333333;15,7837837837838;16,8055555555556;19,3372796709753;"Terrestre"
"FRICOE";1993;"AD";"Court";19,6920454545455;20,656968031968;21;22,575;22,93625;"Terrestre"
"PARCAE";1993;"AD";"Court";10,3813672208014;10,5147058823529;10,5931738366989;10,9179104477612;11,9375;"Terrestre"
"PARMAJ";1993;"AD";"Court";15,2495603480193;15,7423657423657;16,4983988614126;17,4657534246575;17,8948051948052;"Terrestre"
"PHYCOL";1993;"AD";"Court";6,03076923076923;6,67924528301887;7,05982905982906;7,64814814814815;9,27672955974843;"Terrestre"
"PRUMOD";1993;"AD";"Court";15,4063926940639;15,7746478873239;16,5277777777778;18,7323943661972;21,5346795434592;"Terrestre"
"PYRULA";1993;"AD";"Court";22,0731115494978;22,2546449067432;22,4563486370158;22,6580523672884;22,8395857245337;"Terrestre"
"SYLATR";1993;"AD";"Court";13,8383292383292;15,68;17,3541666666667;19,1301369863014;23,2105263157895;"Terrestre"
"TROTRO";1993;"AD";"Court";8,37668825161887;8,64705882352941;9,8;10;12,0936170212766;"Terrestre"
"TURMER";1993;"AD";"Court";81,1015037593985;85,4994299179082;89,1463414634146;95,625;99,4741908482143;"Terrestre"
"TURPHI";1993;"AD";"Court";62,2728448275862;64,2629310344828;66,7410714285714;68,6116071428571;68,9611607142857;"Terrestre"
"ERIRUB";1994;"AD";"Court";15,4315789473684;16;16,3356643356643;17,4788732394366;21,9632719393283;"Terrestre"
"FRICOE";1994;"AD";"Court";20,9968210468622;21,1877226637435;21,3792134831461;21,5;21,5;"Terrestre"
"PARCAE";1994;"AD";"Court";10,0383064516129;10,383064516129;10,7661290322581;11,1491935483871;11,4939516129032;"Terrestre"
"PARMAJ";1994;"AD";"Court";16,6581791496175;17,555817470201;18,5531933819605;19,55056929372;20,4482076143035;"Terrestre"
"PHYCOL";1994;"AD";"Court";7,30231884057971;8,17719298245614;8,56535087719298;8,85;9,66125;"Terrestre"
"PRUMOD";1994;"AD";"Court";19,4210259529603;19,5302287581699;20,5882352941176;20,9413281753707;21,8621212121212;"Terrestre"
"PYRULA";1994;"AD";"Court";20,9898037790698;22,2585029069767;23,6681686046512;25,0778343023256;26,3465334302326;"Terrestre"
"SYLATR";1994;"AD";"Court";15,7004683544304;16,0748945147679;16,9615384615385;18,76;21,7419078947368;"Terrestre"
"TROTRO";1994;"AD";"Court";10,8972222222222;10,9722222222222;11;11,0769230769231;11,2846153846154;"Terrestre"
"TURMER";1994;"AD";"Court";77,9119495166488;82,7115384615385;90,7114624505929;94,0846341463415;101,008043032787;"Terrestre"
"TURPHI";1994;"AD";"Court";60,6702205882353;62,1958333333333;64,13608815427;72,7240912747751;76,5107300884956;"Terrestre"
"AEGCAU";1995;"AD";"Court";7,36206896551724;7,36206896551724;7,36206896551724;7,36206896551724;7,36206896551724;"Terrestre"
"ERIRUB";1995;"AD";"Court";15,4677746478873;15,7837837837838;16;17,52;21,3712273641851;"Terrestre"
"FRICOE";1995;"AD";"Court";21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;"Terrestre"
"PARMAJ";1995;"AD";"Court";18,7566021126761;18,8160211267606;18,8820422535211;18,9480633802817;19,0074823943662;"Terrestre"
