"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"ACCNIS";0;0;0;0;0;0,712499999999999;1;49,5;0,0146474157773593;"Terrestre";"Long";30;0,113636363636364
"Terrestre";"ACRARU";0;0;0;0,75;1,1;1,4;1;49,5;0,0124228395061728;"Aquatique";"Long";9;0,0340909090909091
"Terrestre";"ACRMEL";0;0;0;0;0;0;0;57,5;0;"Aquatique";"Court";1;0,00378787878787879
"Terrestre";"ACRRIS";0;0;1;4;9,6;14,3125;5;49,5;0,129319955406912;"Aquatique";"Long";55;0,208333333333333
"Terrestre";"ACRSCH";0;0;0;0,75;3,9;7,8375;3;49,5;0,076095947063689;"Aquatique";"Long";45;0,170454545454545
"Terrestre";"ACRSCI";0;0;1;7,75;24,4;41,425;16,5;49,5;0,336158192090395;"Aquatique";"Long";122;0,462121212121212
"Terrestre";"ACTHYP";0;0;0;0;0;0;0;23;0;"Aquatique";"Long";2;0,00757575757575758
"Terrestre";"AEGCAU";0;0;0;2;4;6,9125;20;49,5;0,393607221812822;"Terrestre";"Court";209;0,791666666666667
"Terrestre";"ALCATT";0;0;0;0;1;2;3,5;49,5;0,0801282051282051;"Aquatique";"Court";81;0,306818181818182
"Terrestre";"ANTPRA";0;0;0;0;0;0;0;81,5;0;"Terrestre";"Court";5;0,0189393939393939
"Terrestre";"ANTRIS";0;0;0;0;0;0;0;83;0;"Terrestre";"Court";2;0,00757575757575758
"Terrestre";"ANTTRI";0;0;0;1;2,05;4,9125;4;49,5;0,0892045454545455;"Terrestre";"Long";59;0,223484848484848
"Terrestre";"APUAPU";0;0;0;0;0;0;0;67,5;0;"Terrestre";"Long";4;0,0151515151515152
"Terrestre";"ASIOTU";0;0;0;0;0;0;0;49,5;0;"Terrestre";"Court";10;0,0378787878787879
"Terrestre";"ATHNOC";0;0;0;0;0;0;0;81,5;0;"Terrestre";"Court";3;0,0113636363636364
"Terrestre";"BUTBUT";0;0;0;0;0;0;0;49,5;0;"Terrestre";"Court";7;0,0265151515151515
"Terrestre";"CAPEUR";0;0;0;0,25;1;1;1,5;81,5;0,0213909860443834;"Terrestre";"Long";17;0,0643939393939394
"Terrestre";"CARCHL";0;0;0;1,125;3;4,925;12;49,5;0,242647058823529;"Terrestre";"Court";109;0,412878787878788
"Terrestre";"CARERY";0;0;0;0;0;0;0;107;0;"Terrestre";"Court";1;0,00378787878787879
"Terrestre";"CARINA";0;0;0;2;4;5,55;8;49,5;0,143487953356769;"Terrestre";"Court";75;0,284090909090909
"Terrestre";"CARLIS";0;0;0;1;2;4;8,5;49,5;0,165686274509804;"Terrestre";"Court";103;0,390151515151515
"Terrestre";"CARMEA";1;1;1;1;1;1;1;83;0,00993605509099852;"Terrestre";"Court";3;0,0113636363636364
"Terrestre";"CARNUS";0;0;0;0;0;0;0;88,5;0;"Terrestre";"Court";5;0,0189393939393939
"Terrestre";"CERRIS";0;0;0;0;0,6;0,9;1;52;0,0125;"Terrestre";"Court";24;0,0909090909090909
"Terrestre";"CERYLA";0;0;0;1;2;3,1125;13,5;49,5;0,25;"Terrestre";"Court";187;0,708333333333333
"Terrestre";"CETCET";0;0,25;2;5;10,8;15,75;10;52;0,168421052631579;"Aquatique";"Court";69;0,261363636363636
"Terrestre";"CICLUS";0;0;0;0;0;0;0;82,5;0;"Aquatique";"Court";3;0,0113636363636364
"Terrestre";"CISJUN";0;0;0;0,375;0,95;0,9875;1;54;0,0188746438746439;"Aquatique";"Court";11;0,0416666666666667
"Terrestre";"COCTES";0;0;0;0,625;1,8;2,2625;4;49,5;0,091326105087573;"Terrestre";"Court";58;0,21969696969697
"Terrestre";"COLBUS";0;0;0;0;0,0999999999999996;0,800000000000001;1;52;0,0120481927710843;"Terrestre";"Court";30;0,113636363636364
"Terrestre";"COLLIV";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Court";1;0,00378787878787879
"Terrestre";"CORFRU";0;0;0;0;0;0;0;35,5;0;"Terrestre";"Court";1;0,00378787878787879
"Terrestre";"CORONE";0;0;0;0;0;0;0;56;0;"Terrestre";"Court";6;0,0227272727272727
"Terrestre";"CUCCAN";0;0;0;0;0;0;0;52;0;"Terrestre";"Long";13;0,0492424242424242
"Terrestre";"DELURB";0;0;0;0;0;0;0;80;0;"Terrestre";"Long";6;0,0227272727272727
"Terrestre";"DENMAJ";0;0;0;1;1,8;2,2625;11;49,5;0,266956094364351;"Terrestre";"Court";177;0,670454545454545
"Terrestre";"DENMED";0;0;0;0;0;0,6625;1;49,5;0,00926005315956444;"Terrestre";"Court";28;0,106060606060606
"Terrestre";"DENMIN";0;0;0;0;0;0,975;1;49,5;0,0314144736842105;"Terrestre";"Court";56;0,212121212121212
"Terrestre";"DRYMAR";0;0;0;0;0;0;0;49,5;0;"Terrestre";"Court";19;0,071969696969697
"Terrestre";"EMBCIA";0;0;0;0;0;0;0;63,5;0;"Terrestre";"Court";3;0,0113636363636364
"Terrestre";"EMBCIR";0;0;0;1;2,15;5,125;7;57,5;0,0864890135577373;"Terrestre";"Court";56;0,212121212121212
"Terrestre";"EMBCIT";0;0;1;2;4;6,5375;14,5;49,5;0,302173913043478;"Terrestre";"Court";101;0,382575757575758
"Terrestre";"EMBSCH";0;0;0,25;2;3,9;5,425;6;49,5;0,126193001060445;"Aquatique";"Court";54;0,204545454545455
"Terrestre";"ERIRUB";0;1;3;6,5;10,2;13,325;37,5;49,5;0,742710795902285;"Terrestre";"Court";254;0,962121212121212
"Terrestre";"FALTIN";0;0;0;0;0;0;0;52;0;"Terrestre";"Court";5;0,0189393939393939
"Terrestre";"FICUCA";0;0;0;0;0;0,95;1;49,5;0,0150535236396075;"Terrestre";"Long";27;0,102272727272727
"Terrestre";"FRICOE";0;0;1;3;5;8,63750000000001;28,5;49,5;0,571428571428571;"Terrestre";"Court";206;0,78030303030303
"Terrestre";"GARGLA";0;0;0;1;1;2;8,5;49,5;0,25;"Terrestre";"Court";184;0,696969696969697
"Terrestre";"HIPICT";0;0;0;0,5;1;1;1;49,5;0,0246310331072996;"Terrestre";"Long";21;0,0795454545454545
"Terrestre";"HIPPOL";0;0;1,75;5,5;11;17,8625;22,5;49,5;0,39187643020595;"Terrestre";"Long";161;0,609848484848485
"Terrestre";"HIRRUP";0;0;0;0;0;0;0;85;0;"Terrestre";"Court";1;0,00378787878787879
"Terrestre";"HIRRUS";0;0;0;0;1;1,4375;3;49,5;0,0366413067800403;"Terrestre";"Long";56;0,212121212121212
"Terrestre";"IXOMIN";0;0;0;0;0;0;0;56;0;"Aquatique";"Long";2;0,00757575757575758
"Terrestre";"JYNTOR";0;0;0;0;0;0,75;1;52;0,010752688172043;"Terrestre";"Long";22;0,0833333333333333
"Terrestre";"LANMER";0;0;0;0;0;0;0;85;0;"Terrestre";"Court";1;0,00378787878787879
"Terrestre";"LANRIO";0;0;0;1;2,65;4,65;7,5;49,5;0,125;"Terrestre";"Long";57;0,215909090909091
"Terrestre";"LANSEN";0;0;0;0;0;0;0;81,5;0;"Terrestre";"Long";3;0,0113636363636364
"Terrestre";"LOCLUS";0;0;0;0;0;0;0;49,5;0;"Aquatique";"Long";8;0,0303030303030303
"Terrestre";"LOCNAE";0;0;0;0;1,25;2,475;3;49,5;0,0710084033613445;"Aquatique";"Long";55;0,208333333333333
"Terrestre";"LOXCUR";0,0125;0,125;0,25;0,75;0,9;0,975;1;81,5;0,0108111266947172;"Terrestre";"Court";3;0,0113636363636364
"Terrestre";"LULARB";0;0;0;0;0,5;0,875;1;56;0,00917431192660551;"Terrestre";"Court";12;0,0454545454545455
"Terrestre";"LUSMEG";0;0;2;6;14,05;21,4625;23;49,5;0,509259259259259;"Terrestre";"Long";181;0,685606060606061
"Terrestre";"LUSSVE";0;0;0;1;2,5;6,025;2;49,5;0,0363649720834558;"Aquatique";"Long";22;0,0833333333333333
"Terrestre";"MERAPI";0;0;0;0;0;0;0;57,5;0;"Terrestre";"Long";1;0,00378787878787879
"Terrestre";"MILCAL";0;0;0;0;0,85;1,3375;1;54;0,0124228395061728;"Terrestre";"Court";11;0,0416666666666667
"Terrestre";"MOTALB";0;0;0;0;0,6;0,9625;1;49,5;0,0215409163437429;"Terrestre";"Court";35;0,132575757575758
"Terrestre";"MOTCIN";0;0;0;0;0;0;0;54;0;"Terrestre";"Court";18;0,0681818181818182
"Terrestre";"MOTFLA";0;0;0;0;0;0;0;49,5;0;"Terrestre";"Long";7;0,0265151515151515
"Terrestre";"MUSSTR";0;0;0;0;1;2;4;49,5;0,0989130434782609;"Terrestre";"Long";73;0,276515151515151
"Terrestre";"OENOEN";0;0;0;0;0;0;0;81;0;"Terrestre";"Long";4;0,0151515151515152
"Terrestre";"ORIORI";0;0;0;0;0,5;0,875;1;49,5;0,0188746438746439;"Terrestre";"Long";25;0,0946969696969697
"Terrestre";"OTUSCO";0;0;0;0;0;0;0;88,5;0;"Terrestre";"Long";5;0,0189393939393939
"Terrestre";"PANBIA";0;0;0;0;0;0;0;88,5;0;"Aquatique";"Court";1;0,00378787878787879
"Terrestre";"PAPALU";0;0;0;1;2;3;10,5;49,5;0,260869565217391;"Terrestre";"Court";150;0,568181818181818
"Terrestre";"PARATE";0;0;0;0;0,700000000000001;1;1;52;0,0185185185185185;"Terrestre";"Court";29;0,109848484848485
"Terrestre";"PARCAE";0;0;1;2,375;4;6;30;49,5;0,604347826086957;"Terrestre";"Court";243;0,920454545454545
"Terrestre";"PARCRI";0;0;0;0,75;1;2;3,5;49,5;0,0967511371020143;"Terrestre";"Court";87;0,329545454545455
"Terrestre";"PARMAJ";0;1;3;5;7;10,0375;37;49,5;0,833223684210526;"Terrestre";"Court";259;0,981060606060606
"Terrestre";"PARNUS";0;0;1;1,25;2,5;3,75;6;49,5;0,141381766381766;"Terrestre";"Court";53;0,200757575757576
