"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
1989;"AD";"Court";0,111927509110608;0,11228208411307;0,112676056338028;0,212588028169014;0,302508802816901;"Terrestre"
1990;"AD";"Court";0,0298421807747489;0,0660600364547733;0,0833333333333333;0,121416267942584;0,181294511939673;"Terrestre"
1991;"AD";"Court";0;0,0441176470588235;0,0689655172413793;0,126865671641791;0,17032614278377;"Terrestre"
1992;"AD";"Court";0;0,041305525460455;0,0474825523429711;0,0994519664732431;0,222549019607843;"Terrestre"
1993;"AD";"Court";0;0,00914634146341464;0,0606699201419698;0,142970272904483;0,178320032739922;"Terrestre"
1994;"AD";"Court";0;0,0308894230769231;0,10612968591692;0,148209064327485;0,187097812097812;"Terrestre"
1995;"AD";"Court";0;0;0,152542372881356;0,176128229069406;0,222212722298222;"Terrestre"
1996;"AD";"Court";0;0,0369875222816399;0,059106529209622;0,113855513889952;0,191932457786116;"Terrestre"
1997;"AD";"Court";0,00617283950617284;0,0472521828454032;0,0979381443298969;0,139712918660287;0,196399345335516;"Terrestre"
1998;"AD";"Court";0;0;0,0307692307692308;0,114877589453861;0,141678930586215;"Terrestre"
1999;"AD";"Court";0;0;0,0403183023872679;0,115530303030303;0,190924220010758;"Terrestre"
2000;"AD";"Court";0;0;0,0638749681474561;0,0828548644338118;0,105143868463119;"Terrestre"
2001;"AD";"Court";0;0;0,0637963544940289;0,123160173160173;0,280049019607843;"Terrestre"
2002;"AD";"Court";0;0;0,0610411072092543;0,117720258835241;0,18296832884097;"Terrestre"
2003;"AD";"Court";0;0;0,0613485399172829;0,122051886792453;0,1656998264893;"Terrestre"
2004;"AD";"Court";0;0;0,0454545454545455;0,0814063556457066;0,129464285714286;"Terrestre"
2005;"AD";"Court";0;0;0,0283018867924528;0,0810810810810811;0,164112903225807;"Terrestre"
2006;"AD";"Court";0;0;0,0646654719235364;0,105646397547266;0,198658536585366;"Terrestre"
2007;"AD";"Court";0;0,00625;0,0759493670886076;0,107625482625483;0,192241379310345;"Terrestre"
2008;"AD";"Court";0;0;0,0526315789473684;0,0930232558139535;0,183163265306122;"Terrestre"
2009;"AD";"Court";0;0;0,0547945205479452;0,0946348733233979;0,195625662778367;"Terrestre"
2010;"AD";"Court";0;0;0,0719461697722567;0,107837528604119;0,220688559322034;"Terrestre"
2011;"AD";"Court";0;0;0,0526315789473684;0,0930232558139535;0,160374269005848;"Terrestre"
2012;"AD";"Court";0;0;0,0431354359925789;0,0948660714285714;0,16105201863354;"Terrestre"
2013;"AD";"Court";0;0;0,0591491841491842;0,12139689578714;0,245237310481212;"Terrestre"
2014;"AD";"Court";0;0,0106382978723404;0,0645161290322581;0,116052445074415;0,210526315789474;"Terrestre"
2015;"AD";"Court";0;0;0,0616698292220114;0,119485294117647;0,198790322580645;"Terrestre"
2016;"AD";"Court";0;0;0,0434782608695652;0,0871609403254973;0,152045281582953;"Terrestre"
2017;"AD";"Court";0;0,0238095238095238;0,0571895424836601;0,104921394395079;0,192577030812325;"Terrestre"
2018;"AD";"Court";0;0;0,0625;0,107878787878788;0,235070072332731;"Terrestre"
2019;"AD";"Court";0;0;0;0,0674418604651163;0,156699311235471;"Terrestre"
1989;"JUV";"Court";0,00624588274044796;0,0135457839262187;0,0216567852437418;0,0297677865612648;0,0370676877470356;"Terrestre"
1990;"JUV";"Court";0;0,0110507470058032;0,0216651542649728;0,0432588075880759;0,0976503759398496;"Terrestre"
1991;"JUV";"Court";0;0;0;0,024390243902439;0,0358548399303716;"Terrestre"
1992;"JUV";"Court";0;0,00903614457831325;0,0211517165005537;0,0325041806020067;0,0862309223623092;"Terrestre"
1993;"JUV";"Court";0;0;0,00934579439252336;0,0293896804004621;0,0714285714285714;"Terrestre"
1994;"JUV";"Court";0,00227272727272727;0,0272727272727273;0,0416666666666667;0,0576923076923077;0,128427128427128;"Terrestre"
1995;"JUV";"Court";0;0;0,0254326720135078;0,0470822281167109;0,0916703345070423;"Terrestre"
1996;"JUV";"Court";0;0;0,0113636363636364;0,0406028368794326;0,0909090909090909;"Terrestre"
1997;"JUV";"Court";0;0;0,0210526315789474;0,0261538461538462;0,058267587113741;"Terrestre"
1998;"JUV";"Court";0;0;0;0,0247228049145939;0,0684449958643507;"Terrestre"
1999;"JUV";"Court";0;0;0,016379365180332;0,0427031509121061;0,0821868916288125;"Terrestre"
2000;"JUV";"Court";0;0;0;0,0266666666666667;0,0578376150570133;"Terrestre"
2001;"JUV";"Court";0;0;0;0,034965034965035;0,064187643020595;"Terrestre"
2002;"JUV";"Court";0;0;0,0172413793103448;0,0437171524128046;0,0813492063492063;"Terrestre"
2003;"JUV";"Court";0;0;0;0,0251831501831502;0,0608124418656154;"Terrestre"
2004;"JUV";"Court";0;0;0;0,0204081632653061;0,0680603948896631;"Terrestre"
2005;"JUV";"Court";0;0;0;0,0205555555555556;0,0684575507545326;"Terrestre"
2006;"JUV";"Court";0;0;0,00709219858156028;0,0317540322580645;0,0899209486166008;"Terrestre"
2007;"JUV";"Court";0;0;0,0198194662480377;0,0325268817204301;0,0882352941176471;"Terrestre"
2008;"JUV";"Court";0;0;0;0,0210594876248372;0,0910676532769556;"Terrestre"
2009;"JUV";"Court";0;0;0;0,0381493506493506;0,137175324675325;"Terrestre"
2010;"JUV";"Court";0;0;0;0,0266805266805267;0,0827855603448275;"Terrestre"
2011;"JUV";"Court";0;0;0;0,0346855179704017;0,0921875;"Terrestre"
2012;"JUV";"Court";0;0;0;0,0132447021191523;0,0926535087719298;"Terrestre"
2013;"JUV";"Court";0;0;0;0,0328042328042328;0,124705882352941;"Terrestre"
2014;"JUV";"Court";0;0;0,0125;0,036144578313253;0,086586493987049;"Terrestre"
2015;"JUV";"Court";0;0;0;0,0286377708978328;0,0989285714285714;"Terrestre"
2016;"JUV";"Court";0;0;0;0,025;0,06625;"Terrestre"
2017;"JUV";"Court";0;0;0,0132456140350877;0,0396158463385354;0,109684684684685;"Terrestre"
2018;"JUV";"Court";0;0;0;0,0336158192090395;0,0909090909090909;"Terrestre"
2019;"JUV";"Court";0;0;0;0;0,0761697065820778;"Terrestre"
1989;"AD";"Long";0,103353658536585;0,110459662288931;0,118355222013759;0,126250781738587;0,133356785490932;"Terrestre"
1990;"AD";"Long";0,0206851119894598;0,0714285714285714;0,111111111111111;0,113445378151261;0,164718028132662;"Terrestre"
1991;"AD";"Long";0;0,0339342523860021;0,0666666666666667;0,0898989898989899;0,143610421836228;"Terrestre"
1992;"AD";"Long";0;0,0394736842105263;0,0765993265993266;0,0995169082125604;0,137301587301587;"Terrestre"
1993;"AD";"Long";0;0;0,0357142857142857;0,0930335097001764;0,159919390953874;"Terrestre"
1994;"AD";"Long";0,00517241379310344;0,0484913793103448;0,0851063829787234;0,150293255131965;0,243951612903226;"Terrestre"
1995;"AD";"Long";0;0;0,0714285714285714;0,078125;0,27448275862069;"Terrestre"
1996;"AD";"Long";0;0;0,072463768115942;0,112903225806452;0,26284348864994;"Terrestre"
1997;"AD";"Long";0,00454545454545454;0,044137022397892;0,075;0,11505376344086;0,19;"Terrestre"
1998;"AD";"Long";0;0;0,02;0,10375;0,136778846153846;"Terrestre"
1999;"AD";"Long";0,042859375;0,06859375;0,123332162921348;0,204975922953451;0,303354735152488;"Terrestre"
2000;"AD";"Long";0;0;0,0625;0,117647058823529;0,197287032013022;"Terrestre"
2001;"AD";"Long";0;0;0,101731601731602;0,199815270935961;0,299632352941176;"Terrestre"
2002;"AD";"Long";0;0;0,0740740740740741;0,175145348837209;0,258026755852843;"Terrestre"
2003;"AD";"Long";0;0;0,0769230769230769;0,145888594164456;0,227272727272727;"Terrestre"
2004;"AD";"Long";0;0;0,0405479452054795;0,103794642857143;0,220535714285714;"Terrestre"
2005;"AD";"Long";0;0;0,0526315789473684;0,135772357723577;0,227447552447552;"Terrestre"
2006;"AD";"Long";0;0,0483193277310924;0,08;0,143039591315453;0,191193181818182;"Terrestre"
2007;"AD";"Long";0;0;0,05;0,113888888888889;0,180708245243129;"Terrestre"
2008;"AD";"Long";0;0;0,0625;0,111111111111111;0,256493506493506;"Terrestre"
2009;"AD";"Long";0;0;0,08;0,15;0,294117647058824;"Terrestre"
2010;"AD";"Long";0;0;0,0875959079283888;0,129435282358821;0,260488505747126;"Terrestre"
2011;"AD";"Long";0;0;0,0454545454545455;0,116013071895425;0,202912395153774;"Terrestre"
2012;"AD";"Long";0;0;0,0476190476190476;0,135135135135135;0,194444444444444;"Terrestre"
2013;"AD";"Long";0;0,0127118644067797;0,0819397993311037;0,168478260869565;0,230397022332506;"Terrestre"
2014;"AD";"Long";0;0;0,09375;0,161290322580645;0,254255319148936;"Terrestre"
2015;"AD";"Long";0;0;0,0863354037267081;0,142857142857143;0,252511961722488;"Terrestre"
2016;"AD";"Long";0;0;0,0652173913043478;0,115384615384615;0,21680216802168;"Terrestre"
2017;"AD";"Long";0;0,0215130023640662;0,0645833333333333;0,0967741935483871;0,185119047619048;"Terrestre"
2018;"AD";"Long";0;0;0,0690476190476191;0,114316239316239;0,213815789473684;"Terrestre"
2019;"AD";"Long";0;0;0;0,0931818181818182;0,225384615384615;"Terrestre"
1989;"JUV";"Long";0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;"Terrestre"
1990;"JUV";"Long";0;0;0;0,04;0,0834117647058824;"Terrestre"
1991;"JUV";"Long";0;0;0,0172413793103448;0,0909090909090909;0,0934659090909091;"Terrestre"
1992;"JUV";"Long";0;0,015625;0,0697115384615385;0,0874125874125874;0,15719696969697;"Terrestre"
1993;"JUV";"Long";0,00227272727272727;0,0227272727272727;0,0454545454545455;0,066205533596838;0,0848814229249012;"Terrestre"
1994;"JUV";"Long";0,00104166666666666;0,0104166666666667;0,0208333333333333;0,03125;0,040625;"Terrestre"
1995;"JUV";"Long";0,00192307692307692;0,0192307692307692;0,0384615384615385;0,0576923076923077;0,075;"Terrestre"
1996;"JUV";"Long";0,0479710144927536;0,0884057971014493;0,133333333333333;0,143589743589744;0,152820512820513;"Terrestre"
1997;"JUV";"Long";0,0025;0,025;0,05;0,0704545454545455;0,0888636363636364;"Terrestre"
1998;"JUV";"Long";0;0;0;0;0,0972972972972973;"Terrestre"
1999;"JUV";"Long";0,00151515151515151;0,0151515151515152;0,0303030303030303;0,0454545454545455;0,0590909090909091;"Terrestre"
2000;"JUV";"Long";0;0;0;0,0196078431372549;0,0428698752228164;"Terrestre"
2001;"JUV";"Long";0;0;0,027027027027027;0,0603885135135135;0,0751201923076923;"Terrestre"
2002;"JUV";"Long";0;0;0;0,021505376344086;0,0642857142857143;"Terrestre"
2003;"JUV";"Long";0;0;0,0416666666666667;0,058277027027027;0,0947802197802198;"Terrestre"
2004;"JUV";"Long";0;0;0;0;0,0385106382978724;"Terrestre"
2005;"JUV";"Long";0;0;0;0,0475419487783338;0,0755208333333333;"Terrestre"
2006;"JUV";"Long";0;0;0;0,0526315789473684;0,150769230769231;"Terrestre"
2007;"JUV";"Long";0;0;0;0;0,0671321160042964;"Terrestre"
2008;"JUV";"Long";0;0;0;0,0408476658476658;0,0874797077922078;"Terrestre"
2009;"JUV";"Long";0;0;0;0,0153061224489796;0,0796434859154929;"Terrestre"
2010;"JUV";"Long";0;0;0;0,0285947712418301;0,0576797385620915;"Terrestre"
2011;"JUV";"Long";0;0;0;0,0392592592592593;0,0714285714285714;"Terrestre"
2012;"JUV";"Long";0;0;0;0,0199718045112782;0,0605241935483871;"Terrestre"
2013;"JUV";"Long";0;0,00657894736842105;0,051150895140665;0,0769230769230769;0,0892045454545455;"Terrestre"
2014;"JUV";"Long";0;0;0;0,04;0,116666666666667;"Terrestre"
2015;"JUV";"Long";0;0;0;0,00684931506849315;0,0749441964285714;"Terrestre"
2016;"JUV";"Long";0;0;0;0,0513784461152882;0,0751373626373626;"Terrestre"
2017;"JUV";"Long";0;0;0;0,0651260504201681;0,148648648648649;"Terrestre"
2018;"JUV";"Long";0;0;0;0,0705980066445183;0,1375;"Terrestre"
2019;"JUV";"Long";0;0;0;0,0192307692307692;0,0631920278392914;"Terrestre"
1997;"AD";"Court";0;0;0;0;0;"STOC-rozo"
1998;"AD";"Court";0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;"STOC-rozo"
1999;"AD";"Court";0;0;0;0,0333333333333333;0,0633333333333333;"STOC-rozo"
2000;"AD";"Court";0,00384615384615383;0,0384615384615385;0,0769230769230769;0,115384615384615;0,15;"STOC-rozo"
2001;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2002;"AD";"Court";0;0,0166666666666667;0,075;0,123106060606061;0,171457219251337;"STOC-rozo"
2003;"AD";"Court";0;0;0,0714285714285714;0,125661375661376;0,177536997885835;"STOC-rozo"
2004;"AD";"Court";0;0;0;0;0,117857142857143;"STOC-rozo"
2005;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2006;"AD";"Court";0;0;0;0;0,0818181818181819;"STOC-rozo"
2007;"AD";"Court";0;0;0,0267857142857143;0,0743589743589744;0,132720588235294;"STOC-rozo"
2008;"AD";"Court";0;0;0;0,0666666666666667;0,0839130434782609;"STOC-rozo"
2009;"AD";"Court";0;0;0,0277777777777778;0,0602006688963211;0,113538461538462;"STOC-rozo"
2010;"AD";"Court";0;0;0,0131578947368421;0,0679824561403509;0,110087719298246;"STOC-rozo"
